X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
-238.7459789,57.17819684
-270.7938464,75.3062443
-290.3757022,105.7258855
-194.2280505,86.35688816
-260.9654793,131.1273726
-277.7272276,124.1844133
-200.9158559,-4.913956148
-345.4633075,116.7768384
-204.0526583,66.28925721
-236.8869058,171.1203133
-283.0305407,200.2729393
-184.534684,92.92230551
-187.2503644,139.2249046
-247.2205587,153.1498557
-279.1042086,170.3530094
-185.0810894,156.6510899
-221.0042734,138.3320821
-230.4315329,161.5933602
-205.1312289,67.80315179
-287.0031553,130.088253
-73.98639905,27.43884746
-152.1346835,74.8733864
-222.8082161,3.356430992
-290.0827796,82.9004776
-233.1290642,162.6080213
-241.7378557,194.0676711
-269.5232939,162.6080213
-235.7453531,55.71428593
-250.7281141,71.61695682
-279.1947582,96.26586767
-190.3361031,2.633550415
-246.5209685,78.08295607
-206.5203712,100.1104927
-216.7451041,80.18038745
-214.3373648,29.14394666
-184.3903973,93.71143937
-231.8221986,63.31230681
-234.9813187,106.8576624
-253.2683671,92.14377718
-274.481018,142.4813648
-268.6287764,45.67797399
-148.6944169,96.26139251
-207.0488472,60.75639008
-259.6515197,67.0692205
-137.7203093,54.25234189
-197.5137197,43.43611112
-170.4842854,90.02748477
-167.2072472,100.8437155
-198.3332542,121.6437346
-254.8496264,116.6513146
-263.8601389,158.25132
-125.3661669,146.4179874
-208.6168692,61.99535569
-135.4887682,94.03766373
-173.0996222,97.6837723
-205.6479017,110.8107773
-215.7741079,113.7287365
-225.900314,68.51283663
-257.0010957,99.1422028
-295.9660378,65.29010378
-305.4624333,112.999489
0,0
-650,0
-300,-400
0,500
